NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_0-9999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_10000-19999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_20000-29999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_30000-39999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_40000-49999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_50000-59999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_60000-69999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_70000-79999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_80000-89999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_90000-99999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_100000-109999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_110000-119999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_120000-129999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_130000-139999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_140000-149999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_150000-159999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_160000-169999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_170000-179999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_180000-189999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_190000-199999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_200000-209999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_210000-219999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_220000-229999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_230000-239999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_240000-249999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_250000-259999	none
NA19983	2	chr1-119747586-121609789	h2tg000002l:983391-2760258_260000-269999	none
